"","address","type_l1","amount","type_l2"
"142","0xC1464d0922e95e1F8f19Fd3fDa6b9CB9BF681735","other",8387.23947342689,"HRMS"
"143","0xb5621c2772c3278cdd18DaA702670051A62D93A2","other",31.9892107160145,"HRMS"
"144","0x2633E2642E83FcAe6F0cbc0D186BAf5dA221BAD1","other",6.41783867743944,"HRMS"
"145","0xc4a8cD7e51Ed9ab9580c51F7eD23a2CF12D8b245","other",0.022785270623774,"HRMS"
"146","0xc94cDCc2f31B97F7DaEE46B62366271C314b0C3B","other",36.692122250383,"HRMS"
"147","0x8232Aa231e17b54E7B2BF641D9F473AbC42d3d2E","other",199.586691344824,"HRMS"
"148","0x6f2e089A043BF4B466c13dD4fA275680A293caCe","other",20.4321904166705,"HRMS"
"149","0x92cF0050f5fBd7F18d3D2e66D1461EC5b1648861","other",53.628880529552,"HRMS"
"150","0xe0250374a32FF0a14a977c5c50c7950b65870f45","other",10.8114725752015,"HRMS"
"151","0x67430abAA14e5fe522C9eE50fF6987912A8C3338","other",34.8584242354318,"HRMS"
"152","0x71557b39e2da7d3BffCad660E9f24211C61e145D","other",25.2185907688012,"HRMS"
"153","0x864E836E80a1949EC292e8dE5f8904c283c5A710","other",18.5424147300345,"HRMS"
"154","0x33f2A7cfBC746d0CB19d0f4f83533a4D569d0704","other",42.869825923321,"HRMS"
"155","0xe2eF93b094765361A23aed57d707df278161A2B0","other",665.446589265085,"HRMS"
"156","0xa2C1eEFC7F1d2b9bf8b702ba7b0b8070666e332c","other",8.6048197404252,"HRMS"
"157","0xC728F4bE47f6580087592B59E8F5E3a8A7E09Ebc","other",87.6064243359403,"HRMS"
"158","0xcb7aca1C32387b63C9D7133e0e38738FA2C2D4e0","other",21.4632920673768,"HRMS"
"159","0x2153Bd212382Cad43C67CB93DE2578251D021e5e","other",0.150408195917049,"HRMS"
"160","0x0B44BBD639dcF545C49F248F6E3C291DF8aE7D0e","other",279.336218055259,"HRMS"
"161","0xcED4C7FF9bDc8aF4108488B02d2b408A4Fd7f558","other",560.954370124184,"HRMS"
"162","0xCCc9553064d35fFde3061CcBdcaf7429c7C5B57E","other",0.975792428295392,"HRMS"
"163","0x1ead9B797acD161F5504147b94bC41b16065CA56","other",4692.0752736018,"HRMS"
"164","0x7A155bB081eb46963740150B3a73bDf8A8FC6FFA","other",71.2660389400564,"HRMS"
"165","0xd22c9AfFB110bee04A500202E39B9990E2205701","other",90.405400941438,"HRMS"
"166","0xe0D3B203853Fd07904Ec42188836b967afdDA690","other",721.27922131566,"HRMS"
"167","0x04b718ea9ba2d115138f7B5019B86EF3C02C5E8D","other",4.15202537465304,"HRMS"
"168","0xfEFFe72B889c2538d91bDa61f6D3061Be83E28d7","other",109.351647476854,"HRMS"
